Sub	Trial	Color	Period	Session	Path
55	1	r	1	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL1_7AM\55_1.bdf
55	2	r	1	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL1_7AM\55_2.bdf
55	3	r	1	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL1_7AM\55_3.bdf
55	1	r	2	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL2_11AM\55_1.bdf
55	2	r	2	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL2_11AM\55_2.bdf
55	3	r	2	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL2_11AM\55_3.bdf
55	1	r	3	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL3_3PM\55_1.bdf
55	2	r	3	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL3_3PM\55_2.bdf
55	3	r	3	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL3_3PM\55_3.bdf
55	1	w	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL1_7AM\55_1.bdf
55	2	w	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL1_7AM\55_2.bdf
55	3	w	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL1_7AM\55_3.bdf
55	1	w	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL2_11AM\55_1.bdf
55	2	w	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL2_11AM\55_2.bdf
55	3	w	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL2_11AM\55_3.bdf
55	1	w	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL3_3PM\55_1.bdf
